speclam specflux F_lam_all F_lam_tot rayscat
3801.02 84.0006 1.1540651385711401e+44 3.8079936358084575e+43 45.7855611999217
3801.89 84.5305 1.1535120633895737e+44 3.8073635539498405e+43 45.82749427714965
3802.77 79.7138 1.1529530136936625e+44 3.806726217258955e+43 45.869938639192725
3803.64 76.9816 1.1524006948254928e+44 3.8060961107540607e+43 45.91192965476655
3804.52 78.173 1.1518424094620199e+44 3.805458749323098e+43 45.95443264808887
3805.4 73.9437 1.1512845079396907e+44 3.8048213755947463e+43 45.99696514496011
3806.27 72.5259 1.1507333231975529e+44 3.8041912327550995e+43 46.03904333392331
3807.15 74.1237 1.1501761839855104e+44 3.8035538348570117e+43 46.0816345431915
3808.03 71.3516 1.1496194275993977e+44 3.802916424948599e+43 46.12425529681334
3808.9 84.2144 1.1490693739836598e+44 3.8022862466224017e+43 46.166420779730494
3809.78 77.7192 1.148513377892192e+44 3.80164881311568e+43 46.20910032692301
3810.66 80.6323 1.1479577636147065e+44 3.801011367886245e+43 46.25180945930207
3811.54 73.9958 1.147402530813331e+44 3.8003739110304494e+43 46.294548190536716
3812.41 78.7619 1.146853982143396e+44 3.79974368666805e+43 46.33683036400069
3813.29 83.8468 1.1462995069566885e+44 3.7991062069782253e+43 46.37962799722794
3814.17 85.7957 1.145745412238486e+44 3.7984687159503575e+43 46.42245527018126
3815.05 89.6182 1.1451916976523663e+44 3.7978312136810345e+43 46.465312196542286
3815.93 89.711 1.1446383628622705e+44 3.7971937002669017e+43 46.508198789995745
3816.81 82.5043 1.1440854075324996e+44 3.7965561758046543e+43 46.551115064229634
3817.68 84.5566 1.1435391084743783e+44 3.795925885172816e+43 46.593572843711044
3818.56 89.0832 1.1429869067570563e+44 3.7952883390274747e+43 46.636548182912385
3819.44 88.1415 1.1424350834989316e+44 3.79465078212335e+43 46.67955324382112
3820.32 89.7971 1.1418836383657426e+44 3.794013214557358e+43 46.72258804013787
3821.2 87.7077 1.1413325710235917e+44 3.793375636426488e+43 46.76565258556616
3822.08 86.7732 1.1407818811389351e+44 3.7927380478277567e+43 46.80874689381293
3822.96 92.7582 1.1402315683785889e+44 3.7921004488582405e+43 46.85187097858812
3823.84 96.15 1.1396816324097302e+44 3.7914628396150827e+43 46.89502485360487
3824.72 91.0426 1.139132072899892e+44 3.7908252201954784e+43 46.93820853257946
3825.6 90.9239 1.1385828895169606e+44 3.790187590696638e+43 46.98142202923144
3826.48 92.1744 1.1380340819291858e+44 3.7895499512158753e+43 47.024665357283276
3827.37 98.9904 1.137479419778225e+44 3.788905055778581e+43 47.06843044261961
3828.25 92.1486 1.1369313670478961e+44 3.78826739651537e+43 47.11173381403588
3829.13 94.1785 1.1363836891158421e+44 3.787629727563512e+43 47.155067058194916
3830.01 99.102 1.1358363856517353e+44 3.786992049020488e+43 47.19843018883201
3830.89 92.2825 1.1352894563256047e+44 3.7863543609838546e+43 47.241823219685585
3831.78 88.8322 1.134736692096451e+44 3.7857094169358337e+43 47.285739779001936
3832.66 100.732 1.134190514299958e+44 3.785071710099679e+43 47.32919299168293
3833.54 91.1549 1.1336447096499084e+44 3.784433994063927e+43 47.3726761459709
3834.42 99.5025 1.133099277817748e+44 3.783796268926316e+43 47.41618925561688
3835.31 104.473 1.1325480267583143e+44 3.783151287754379e+43 47.46022731435543
3836.19 98.8861 1.1320033438049037e+44 3.782513544605792e+43 47.503800716777
3837.07 105.313 1.131459032682108e+44 3.781875792649936e+43 47.547404115985245
3837.96 107.121 1.1309089140642867e+44 3.781230784654777e+43 47.59153353245091
3838.84 105.736 1.130365349837677e+44 3.7805930152809016e+43 47.63519730779154
3839.72 109.967 1.129822156457592e+44 3.7799552373947726e+43 47.678891121376
3840.61 113.456 1.12927316728425e+44 3.77931020347487e+43 47.72311202183036
3841.49 112.352 1.128730718824176e+44 3.7786724087644985e+43 47.76686629496163
3842.38 110.046 1.1281824823698132e+44 3.7780273580299003e+43 47.81114837018984
3843.26 124.096 1.1276407775133615e+44 3.7773895468923305e+43 47.85496315861441
3844.15 127.019 1.1270932924480651e+44 3.776744479744782e+43 47.89930646500956
3845.03 120.897 1.1265523298816789e+44 3.776106652577412e+43 47.943181824499746
3845.92 116.397 1.1260055948783934e+44 3.775461569418995e+43 47.98758641848079
3846.8 130.356 1.1254653732913412e+44 3.7748237266195626e+43 48.03152240483463
3847.69 134.016 1.124919387025865e+44 3.7741786278527e+43 48.07598834284663
3848.58 117.102 1.1243737767449486e+44 3.7735335213896855e+43 48.120485147497156
3849.46 125.82 1.1238346662612119e+44 3.772895655846746e+43 48.164512350401736
3850.35 138.48 1.1232898027334147e+44 3.7722505343806977e+43 48.20907058395907
3851.23 128.406 1.1227514299608155e+44 3.7716126542026237e+43 48.2531585534924
3852.12 135.333 1.1222073118690464e+44 3.7709675181368013e+43 48.29777827246666
3853.01 133.37 1.1216635681042992e+44 3.77032237488231e+43 48.34242892919627
3853.9 130.056 1.1211201983346447e+44 3.7696772245412267e+43 48.387110537978764
3854.78 127.728 1.1205833012339298e+44 3.769039316212809e+43 48.43132055256393
3855.67 130.488 1.1200406742672002e+44 3.7683941520817065e+43 48.47606376018093
3856.56 129.988 1.1194984203056383e+44 3.7677489811693287e+43 48.5208379626023
3857.45 121.742 1.1189565390187425e+44 3.7671038035779174e+43 48.56564317413858
3858.34 131.314 1.1184150300763663e+44 3.766458619409735e+43 48.61047940910378
3859.22 125.379 1.1178799712736438e+44 3.7658206781357465e+43 48.65484238269254
3860.11 124.459 1.1173392018568825e+44 3.765175481192016e+43 48.69974035849139
3861.0 117.082 1.1167988038000342e+44 3.7645302779774015e+43 48.744669400519776
3861.89 121.634 1.1162587767743702e+44 3.763885068594316e+43 48.78962952310488
3862.78 119.611 1.1157191204515172e+44 3.763239853145215e+43 48.834620740577144
3863.67 117.741 1.1151798345034567e+44 3.7625946317325897e+43 48.879643067270244
3864.56 118.601 1.1146409186025212e+44 3.761949404458953e+43 48.92469651752122
3865.45 117.515 1.1141023724213983e+44 3.7613041714268684e+43 48.96978110567045
3866.34 122.617 1.1135641956331264e+44 3.760658932738924e+43 49.014896846061546
3867.23 117.718 1.1130263879110987e+44 3.7600136884977424e+43 49.060043753041356
3868.12 113.799 1.1124889489290573e+44 3.7593684388059837e+43 49.10522184096031
3869.01 113.363 1.1119518783610974e+44 3.7587231837663374e+43 49.150431124171774
3869.9 112.318 1.1114151758816652e+44 3.7580779234815287e+43 49.19567161703267
3870.79 103.985 1.1108788411655554e+44 3.7574326580543067e+43 49.24094333390318
3871.68 107.857 1.1103428738879155e+44 3.756787387587465e+43 49.286246289146646
3872.58 110.404 1.1098012578292484e+44 3.7561348618707274e+43 49.33209004785808
3873.47 100.068 1.1092660285747734e+44 3.7554895815793866e+43 49.37745587434868
3874.36 102.557 1.108731165782663e+44 3.754844296558123e+43 49.4228529824841
3875.25 113.652 1.1081966691294632e+44 3.7541990069098434e+43 49.46828138664088
3876.14 102.051 1.1076625382920666e+44 3.7535537127374814e+43 49.51374110119909
3877.04 111.788 1.1071227776594668e+44 3.752901163573293e+43 49.55974345382967
3877.93 103.297 1.1065893815869538e+44 3.752255860613779e+43 49.605266184551205
3878.82 103.72 1.106056350359386e+44 3.751610553440324e+43 49.65082026899581
3879.72 104.461 1.1055177007055672e+44 3.7509579914444445e+43 49.696918095913006
3880.61 102.467 1.1049854022934183e+44 3.750312676107858e+43 49.74253528368087
3881.5 100.135 1.104453467758498e+44 3.7496673568677434e+43 49.78818386852317
3882.4 97.6664 1.1039159261366857e+44 3.7490147829853483e+43 49.834377301735394
3883.29 101.958 1.103384722474018e+44 3.748369456206635e+43 49.88008907712121
3884.19 95.9691 1.1028479192816992e+44 3.747716874911947e+43 49.92634644035148
3885.08 98.6044 1.1023174451969191e+44 3.747071541012025e+43 49.972121464569575
3885.97 91.7739 1.1017873333822458e+44 3.7464262037268197e+43 50.017927958235184
3886.87 96.9553 1.1012516333281342e+44 3.745773612123725e+43 50.06428114814143
3887.76 99.0317 1.100722249158633e+44 3.74512826834263e+43 50.11015097796001
3888.66 99.4329 1.1001872842741956e+44 3.744475670381925e+43 50.15656824516379
3889.56 97.7763 1.099652688536654e+44 3.743823069384343e+43 50.203017752301044
