speclam specflux F_lam_all F_lam_tot rayscat
3199.71728515613 1.54231e-16 1.6485916139721187e+44 4.2368384665135206e+43 22.9918730253257
3200.78960895526 1.591788e-16 1.647461978858631e+44 4.236087520022491e+43 23.02270966124422
3201.8619327544 3.999913e-16 1.6463334373936496e+44 4.235336542358906e+43 23.053577305275017
3202.93425655353 4.085539e-16 1.6452059882206302e+44 4.2345855332236865e+43 23.084475978197506
3204.00658035266 3.443158e-16 1.6440796299850288e+44 4.2338344923197716e+43 23.115405700799066
3205.0789041518 1.581755e-16 1.6429543613343282e+44 4.2330834193521213e+43 23.146366493873977
3206.15122795093 1.340379e-16 1.6418301809180747e+44 4.232332314027738e+43 23.17735837822255
3207.22355175006 1.24223e-16 1.6407070873877995e+44 4.2315811760556234e+43 23.208381374653015
3208.2958755492 2.754515e-16 1.6395850793970546e+44 4.2308300051467777e+43 23.239435503980513
3209.36819934833 1.136517e-16 1.638464155601439e+44 4.230078801014225e+43 23.270520787026307
3210.44052314746 3.602886e-17 1.6373443146585326e+44 4.2293275633729696e+43 23.301637244619467
3211.5128469466 1.016133e-16 1.6362255552279244e+44 4.228576291940005e+43 23.332784897596007
3212.58517074573 1.571928e-16 1.6351078759712346e+44 4.227824986434316e+43 23.363963766798122
3213.65749454486 2.086661e-16 1.6339912755520607e+44 4.2270736465768466e+43 23.395173873075706
3214.729818344 1.412128e-16 1.6328757526359929e+44 4.2263222720905094e+43 23.426415237285678
3215.80214214313 1.362923e-16 1.6317613058906497e+44 4.225570862700209e+43 23.45768788029109
3216.87446594226 1.327373e-17 1.6306479339856065e+44 4.224819418132763e+43 23.488991822962785
3217.9467897414 2.074744e-16 1.6295356355924291e+44 4.224067938116961e+43 23.52032708617852
3219.01911354053 1.853939e-16 1.6284244093846976e+44 4.2233164223835377e+43 23.55169369082221
3220.09143733966 1.161078e-16 1.6273142540379429e+44 4.2225648706651597e+43 23.583091657785573
3221.1637611388 2.328503e-16 1.6262051682296693e+44 4.221813282696407e+43 23.614521007967298
3222.23608493793 2.775797e-16 1.6250971506393897e+44 4.2210616582138153e+43 23.64598176227215
3223.30840873706 2.097e-16 1.6239901999485542e+44 4.2203099969558113e+43 23.677473941612735
3224.3807325362 3.639827e-16 1.6228843148405817e+44 4.2195582986627315e+43 23.70899756690862
3225.45305633533 1.944746e-16 1.6217794940008842e+44 4.218806563076841e+43 23.74055265908546
3226.52538013446 2.392485e-16 1.6206757361168033e+44 4.21805478994228e+43 23.772139239076736
3227.5977039336 2.39293e-16 1.6195730398776368e+44 4.217302979005079e+43 23.803757327822904
3228.67002773273 1.853873e-16 1.6184714039746685e+44 4.2165511300131764e+43 23.835406946270496
3229.74235153186 1.169977e-16 1.6173708271010992e+44 4.2157992427163706e+43 23.867088115373868
3230.814675331 1.160923e-16 1.6162713079520788e+44 4.2150473168663264e+43 23.89880085609436
3231.88699913013 2.317414e-16 1.6151728452247282e+44 4.2142953522166054e+43 23.930545189399382
3232.95932292926 2.354638e-16 1.61407543761808e+44 4.2135433485226003e+43 23.96232113626419
3234.0316467284 1.596033e-16 1.612979083833102e+44 4.2127913055415574e+43 23.99412871767099
3235.10397052753 2.830615e-16 1.6118837825727266e+44 4.212039223032594e+43 24.02596795460808
3236.17629432666 3.029638e-16 1.6107895325417856e+44 4.211287100756658e+43 24.057838868071588
3237.2486181258 2.348447e-16 1.609696332447036e+44 4.210534938476518e+43 24.08974147906462
3238.32094192493 3.314605e-16 1.608604180997191e+44 4.209782735956801e+43 24.121675808596336
3239.39326572406 2.653845e-16 1.6075130769028502e+44 4.209030492963928e+43 24.153641877683757
3240.4655895232 3.074902e-16 1.6064230188765316e+44 4.2082782092661493e+43 24.18563970735086
3241.53791332233 2.205037e-16 1.6053340056326987e+44 4.2075258846335423e+43 24.217669318627703
3242.61023712146 1.81091e-16 1.6042460358876893e+44 4.206773518837954e+43 24.249730732552173
3243.6825609206 1.494037e-16 1.603159108359753e+44 4.206021111653064e+43 24.281823970169146
3244.75488471973 1.905283e-16 1.6020732217690707e+44 4.205268662854331e+43 24.31394905252954
3245.82720851886 1.791844e-16 1.600988374837695e+44 4.2045161722190017e+43 24.346106000692142
3246.899532318 1.416164e-16 1.5999045662895724e+44 4.2037636395260826e+43 24.378294835722695
3247.97185611713 7.175616e-17 1.5988217948505767e+44 4.2030110645564e+43 24.410515578693012
3249.04417991626 1.045758e-16 1.5977400592484377e+44 4.2022584470925167e+43 24.442768250682757
3250.1165037154 1.917115e-16 1.5966593582127767e+44 4.201505786918753e+43 24.475052872778548
3251.18882751453 1.458952e-16 1.5955796904751265e+44 4.200753083821214e+43 24.507369466073087
3252.26115131366 1.833892e-16 1.594501054768869e+44 4.200000337587732e+43 24.539718051666913
3253.3334751128 1.475874e-16 1.5934234498292673e+44 4.199247548007889e+43 24.572098650667535
3254.40579891193 1.461199e-16 1.592346874393485e+44 4.1984947148730205e+43 24.604511284188554
3255.47812271106 2.76015e-16 1.5912713272005292e+44 4.197741837976177e+43 24.63695597335134
3256.5504465102 1.83299e-16 1.5901968069912743e+44 4.1969889171121423e+43 24.669432739284296
3257.62277030933 4.255042e-17 1.5891233125084861e+44 4.1962359520774277e+43 24.701941603121917
3258.69509410846 1.364605e-16 1.588050842496765e+44 4.195482942670248e+43 24.734482586006507
3259.7674179076 1.56927e-16 1.5869793957025691e+44 4.19472988869054e+43 24.767055709087277
3260.83974170673 1.957774e-16 1.58590897087424e+44 4.19397678993994e+43 24.799660993519623
3261.91206550586 1.814551e-16 1.5848395667619426e+44 4.193223646221778e+43 24.832298460466717
