speclam specflux F_lam_all F_lam_tot rayscat
3573.55 9.02512 1.3126470424203806e+44 3.9720511192113537e+43 35.770694706445695
3574.37 0.0710046 1.3120212923071087e+44 3.97146300547783e+43 35.80353831253729
3575.2 8.26104 1.3113883416355272e+44 3.9708676899474463e+43 35.83680547760538
3576.02 8.55092 1.3107634418578669e+44 3.970279517620943e+43 35.869694593696316
3576.84 7.76417 1.3101389641182367e+44 3.969691316247581e+43 35.902606342507504
3577.67 6.40051 1.3095073002111287e+44 3.969095912155551e+43 35.9359425131399
3578.49 3.22115 1.3088836705835822e+44 3.968507652480182e+43 35.96889983486241
3579.32 9.43573 1.3082528643812477e+44 3.9679121894742643e+43 36.0022821554526
3580.14 7.44725 1.307630081384366e+44 3.967323871693096e+43 36.03528509213695
3580.96 5.27688 1.3070077185871914e+44 3.9667355251085404e+43 36.06831071372282
3581.79 5.35744 1.3063781935444173e+44 3.966139974283313e+43 36.10176219897408
3582.61 6.0976 1.3057566751661406e+44 3.965551569889393e+43 36.134833498506296
3583.44 6.47528 1.3051280040938814e+44 3.9649559606507596e+43 36.1683312400558
3584.26 7.93563 1.304507328660914e+44 3.9643674986472884e+43 36.20144825963326
3585.09 10.5708 1.3038795100691946e+44 3.963771831198225e+43 36.23499230010308
3585.92 5.22144 1.3032521197387522e+44 3.963176134544741e+43 36.26855964645163
3586.74 7.37579 1.3026327085130759e+44 3.962587586331388e+43 36.30174546387595
3587.57 8.46234 1.3020061684296298e+44 3.9619918317752654e+43 36.335359173244086
3588.39 1.96905 1.3013875964745084e+44 3.9614032264587703e+43 36.36859081617351
3589.22 12.531 1.3007619051559744e+44 3.9608074142065853e+43 36.40225093123242
3590.05 8.99692 1.3001366402326192e+44 3.960211573010069e+43 36.435934405897484
3590.87 5.93155 1.2995193269761517e+44 3.959622882251447e+43 36.4692350052744
3591.7 6.62795 1.2988949085959853e+44 3.9590269836719985e+43 36.50296494980333
3592.53 7.09644 1.298270915495182e+44 3.9584310563065255e+43 36.53671828623057
3593.35 4.8979 1.2976548576435345e+44 3.9578422805731203e+43 36.57008793737989
3594.18 3.56925 1.2970317088712605e+44 3.9572462961410155e+43 36.60388780788843
3595.01 8.35 1.2964089842660786e+44 3.956650283082779e+43 36.63771110260977
3595.84 7.51903 1.2957866834565314e+44 3.9560542414522844e+43 36.67155783236368
3596.67 8.80624 1.2951648060715477e+44 3.9554581713035534e+43 36.70542800797267
3597.49 11.017 1.2945508366256873e+44 3.954869254770999e+43 36.73891314360057
3598.32 7.04001 1.293929799887843e+44 3.954273128090588e+43 36.772829960591366
3599.15 2.6976 1.2933091854681842e+44 3.953676973054433e+43 36.80677025578894
3599.98 11.4686 1.2926889929972174e+44 3.953080789717275e+43 36.84073404002561
3600.81 8.35143 1.292069222105838e+44 3.9524845781340024e+43 36.87472132413626
3601.64 5.65865 1.2914498724253362e+44 3.951888338359681e+43 36.908732118958234
3602.47 7.77939 1.2908309435873921e+44 3.9512920704495455e+43 36.942766435331464
3603.3 9.55337 1.2902124352240801e+44 3.9506957744590085e+43 36.97682428409827
3604.13 12.6204 1.2895943469678634e+44 3.95009945044364e+43 37.01090567610346
3604.96 5.81389 1.2889766784515948e+44 3.9495030984591795e+43 37.04501062219443
3605.79 6.13652 1.2883594293085197e+44 3.948906718561546e+43 37.07913913322104
3606.62 8.21405 1.2877425991722686e+44 3.948310310806802e+43 37.11329122003563
3607.45 7.45713 1.2871261876768655e+44 3.9477138752511956e+43 37.14746689349306
3608.28 6.91269 1.2865101944567195e+44 3.947117411951134e+43 37.18166616445073
3609.11 8.94215 1.2858946191466298e+44 3.946520920963185e+43 37.21588904376834
3609.94 6.24771 1.285279461381781e+44 3.945924402344087e+43 37.250135542308364
3610.77 4.38866 1.2846647207977466e+44 3.9453278561507354e+43 37.28440567093564
3611.6 5.96678 1.2840503970304846e+44 3.9447312824401913e+43 37.31869944051745
3612.44 8.03072 1.2834290957801696e+44 3.9441274931365847e+43 37.35343046907414
3613.27 7.96339 1.282815609566792e+44 3.943530864233685e+43 37.38777183833609
3614.1 8.3859 1.2822025390760093e+44 3.942934207986444e+43 37.42213688130073
3614.93 8.20421 1.2815898839453243e+44 3.9423375244525537e+43 37.45652560884531
3615.76 6.66743 1.2809776438126286e+44 3.9417408136898996e+43 37.49093803184978
3616.6 7.78411 1.2803584494510954e+44 3.941136885977431e+43 37.52578919889545
3617.43 8.18173 1.2797470432186376e+44 3.940540120605161e+43 37.56024933128527
3618.26 5.79412 1.2791360508957886e+44 3.9399433281793693e+43 37.5947331919207
3619.09 8.87181 1.2785254721219724e+44 3.939346508758564e+43 37.62924079169167
3619.93 9.02211 1.2779079576620124e+44 3.938742471317446e+43 37.66418832669031
3620.76 5.13899 1.2772982098777148e+44 3.9381455977592605e+43 37.698743723754525
3621.6 5.74122 1.2766815356824986e+44 3.937541505649153e+43 37.73373965423882
3622.43 8.39347 1.2760726174326382e+44 3.9369445781923116e+43 37.768342892712724
3623.26 6.3668 1.2754641109260148e+44 3.936347624036717e+43 37.80296992507186
3624.1 4.11386 1.2748486918637116e+44 3.935743450539925e+43 37.838038387361344
3624.93 6.46632 1.274241012719044e+44 3.935146442845399e+43 37.87271332721063
3625.77 4.88152 1.273626430254123e+44 3.934542215286853e+43 37.9078302965362
3626.6 7.17574 1.273019577024044e+44 3.933945154295222e+43 37.94255318804303
3627.44 9.81611 1.2724058296932578e+44 3.933340872920294e+43 37.97771870911429
3628.27 7.50623 1.2717998009334806e+44 3.9327437588746505e+43 38.012489596466146
3629.11 10.3704 1.2711868872766936e+44 3.932139423929966e+43 38.04770371401332
3629.95 9.00429 1.2705743924019841e+44 3.9315350621336173e+43 38.082942292211406
3630.78 7.97548 1.269969600106172e+44 3.930937868807993e+43 38.11778540019219
3631.62 7.67614 1.2693579367167183e+44 3.930333453814872e+43 38.15307264213423
3632.45 8.92964 1.2687539652895958e+44 3.929736208048964e+43 38.187963856650484
3633.29 10.1593 1.2681431319330092e+44 3.9291317401087404e+43 38.223299807118345
3634.13 6.46485 1.2675327155299567e+44 3.9285272456312046e+43 38.25866027461699
3634.96 9.22582 1.2669299751679818e+44 3.9279299215134337e+43 38.29362387622501
3635.8 4.89546 1.2663203866206645e+44 3.9273253744663364e+43 38.32903311959494
3636.64 5.86948 1.265711213933544e+44 3.9267208010725004e+43 38.364466913881685
3637.48 9.02573 1.2651024567414996e+44 3.926116201396007e+43 38.39992527043093
3638.31 5.5336 1.2645013544070276e+44 3.925518773582361e+43 38.43498564018115
3639.15 6.40345 1.2638934221757882e+44 3.9249141218443706e+43 38.47049286255759
3639.99 5.92604 1.2632859043509338e+44 3.924309444016091e+43 38.506024681113836
3640.83 8.07234 1.2626788005688957e+44 3.923704740162192e+43 38.54158110720589
3641.67 7.85426 1.2620721104664942e+44 3.923100010347507e+43 38.57716215219243
3642.5 5.40874 1.2614730488321962e+44 3.9225024542617885e+43 38.61234380544087
3643.34 5.19414 1.2608671800870772e+44 3.921897673027687e+43 38.64797382888338
3644.18 7.13341 1.2602617239386812e+44 3.9212928660273616e+43 38.683628505176735
3645.02 8.04396 1.2596566800253659e+44 3.9206880333262033e+43 38.71930784569013
3645.86 7.79714 1.2590520479858805e+44 3.920083174989772e+43 38.7550118617952
3646.7 8.94443 1.2584478274593539e+44 3.9194782910837557e+43 38.790740564866375
3647.54 10.6207 1.2578440180853016e+44 3.918873381673989e+43 38.826493966280594
